-0.0	0.0	0
1.7921709546886085e-19	8.94673531281159e-20	0
1.438162919180162e-18	7.168113997992794e-19	0
4.8688020657235346e-18	2.4228594916361124e-18	0
1.1576584296498714e-17	5.751659993468036e-18	0
2.2680596767239982e-17	1.1250484269225379e-17	0
3.931371800585384e-17	1.94698282881297e-17	0
6.262277366111862e-17	3.0963413841112236e-17	0
9.376869404303126e-17	4.628818935718205e-17	0
1.3392667347583208e-16	6.600433030925109e-17	0
1.8428633148497608e-16	9.06752391987047e-17	0
2.4605187583956453e-16	1.2086754510778338e-16	0
3.2044226747199955e-16	1.5715110280861427e-16	0
4.086913872968767e-16	2.000989914174993e-16	0
5.120482049513771e-16	2.502875125828308e-16	0
6.317769494796837e-16	3.0829618819476444e-16	0
7.691572819841948e-16	3.7470775760453397e-16	0
9.254844702665744e-16	4.50108174341043e-16	0
1.102069565481942e-15	5.350866023121113e-16	0
1.3002395808297678e-15	6.302354114774974e-16	0
1.5213376723053028e-15	7.361501729805495e-16	0
1.7667233215356539e-15	8.534296537250695e-16	0
2.037772520724878e-15	9.826758103836996e-16	0
2.335877959732751e-15	1.1244937828238573e-15	0
2.662449215312138e-15	1.2794918869369626e-15	0
3.0189129425301856e-15	1.4482816068564051e-15	0
3.4067130683988257e-15	1.6314775865494045e-15	0
3.82731098774037e-15	1.829697620767614e-15	0
4.282185761314281e-15	2.043562645341004e-15	0
4.7728343162314615e-15	2.273696726799257e-15	0
5.300771648682739e-15	2.52072705130457e-15	0
5.867531029008484e-15	2.78528391287945e-15	0
6.474664209136621e-15	3.068000700912734e-15	0
7.12374163241659e-15	3.369513886926753e-15	0
7.81635264587711e-15	3.690463010588178e-15	0
8.554105714935921e-15	4.031490664944767e-15	0
9.33862864058997e-15	4.39324248086985e-15	0
1.0171568779114847e-14	4.776367110696021e-15	0
1.1054593264302555e-14	5.181516211019159e-15	0
1.198938923226706e-14	5.609344424653476e-15	0
1.2977664048847344e-14	6.06050936171794e-15	0
1.4021145539638036e-14	6.535671579834008e-15	0
1.512158222267802e-14	7.035494563414197e-15	0
1.628074354382773e-14	7.560644702020617e-15	0
1.750042011486618e-14	8.111791267772172e-15	0
1.8782423954339136e-14	8.689606391778703e-15	0
2.0128588731190125e-14	9.294765039579907e-15	0
2.1540770011206352e-14	9.927944985566445e-15	0
2.3020845506311937e-14	1.0589826786360164e-14	0
2.4570715326741176e-14	1.1281093753129932e-14	0
2.6192302236124988e-14	1.2002431922819094e-14	0
2.78875519095239e-14	1.2754530028260085e-14	0
2.965843319444142e-14	1.3538079467151248e-14	0
3.150693837485194e-14	1.4353774269870425e-14	0
3.3435083438277603e-14	1.5202311066099326e-14	0
3.54449083459491e-14	1.608438905023226e-14	0
3.7538477306085484e-14	1.7000709945542185e-14	0
3.9717879050328704e-14	1.795197796707658e-14	0
4.19852271133687e-14	1.8938899783255034e-14	0
4.434266011579544e-14	1.9962184476139938e-14	0
4.679234205021455e-14	2.1022543500351076e-14	0
4.933646257066358e-14	2.212069064059433e-14	0
5.197723728536634e-14	2.3257341967774148e-14	0
5.4716908052863085e-14	2.443321579365879e-14	0
5.75577432815548e-14	2.564903262406681e-14	0
6.050203823270001e-14	2.6905515110542528e-14	0
6.355211532690319e-14	2.820338800048772e-14	0
6.671032445413389e-14	2.954337808571599e-14	0
6.997904328731663e-14	3.0926214149395735e-14	0
